2017-12-13 22:36:44 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (69ea7e4c4d2292926f985279daa96fdf)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:36:45 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:36:45 INFO  LoginInvalid:41 - starting test
2017-12-13 22:36:47 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (69ea7e4c4d2292926f985279daa96fdf)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:36:49 INFO  LoginInvalid:46 - Finished test
2017-12-13 22:37:59 INFO  LoginInvalid:41 - starting test
2017-12-13 22:38:02 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (9b80c2edb2c146e4a6547bce450a7f68)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:38:04 INFO  LoginInvalid:41 - starting test
2017-12-13 22:38:06 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (9b80c2edb2c146e4a6547bce450a7f68)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 22:38:07 INFO  LoginInvalid:41 - starting test
2017-12-13 22:38:09 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (9b80c2edb2c146e4a6547bce450a7f68)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:00:30 INFO  LoginInvalid:41 - starting test
2017-12-13 23:00:33 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (fbf0e0e38896a7d2bd034b065dd3e07b)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:00:35 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:00:35 INFO  LoginInvalid:41 - starting test
2017-12-13 23:00:37 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (fbf0e0e38896a7d2bd034b065dd3e07b)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:00:39 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:00:39 INFO  LoginInvalid:41 - starting test
2017-12-13 23:00:41 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (fbf0e0e38896a7d2bd034b065dd3e07b)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:00:42 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:02:06 INFO  LoginInvalid:41 - starting test
2017-12-13 23:02:08 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (e65acffbab4aebf48d33841f2bb166ce)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:02:11 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:02:11 INFO  LoginInvalid:41 - starting test
2017-12-13 23:02:12 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (e65acffbab4aebf48d33841f2bb166ce)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:02:14 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:02:14 INFO  LoginInvalid:41 - starting test
2017-12-13 23:02:16 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (e65acffbab4aebf48d33841f2bb166ce)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:02:18 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:04:47 INFO  LoginInvalid:41 - starting test
2017-12-13 23:04:49 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (3a242ef52732916e7636664aa6dfc084)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:04:51 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:04:51 INFO  LoginInvalid:41 - starting test
2017-12-13 23:04:54 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (3a242ef52732916e7636664aa6dfc084)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:04:56 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:04:56 INFO  LoginInvalid:41 - starting test
2017-12-13 23:04:57 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (3a242ef52732916e7636664aa6dfc084)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:04:59 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:07:20 INFO  LoginInvalid:41 - starting test
2017-12-13 23:07:23 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (5111a57e69e498532bc53b9e6e9e9fb0)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:07:25 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:07:25 INFO  LoginInvalid:41 - starting test
